song_idx,artist,title,start_word,baseline,global_midi,aligned_midi
0,the byrds,turn turn turn,love,"love that it
the end is it
i can say
and you
if you do my heart and the way
i never never knew
and a fool that i want to let
me a little
the morning
you're all my soul is
i'm gonna be at least
when a big my mind
you make mistakes the the way
and the morning
the","love to say to hold me
the sun
so the way the same
you need
i love
if i see on the best
oh oh yeah yeah yeah
i'm gonna fly on and i feel in
san antone can't be with me i feel
it i need you got it
you won't do you
and the same now
i can love me the best can","love
i need to get to you
you're just your mind
all the rain
so
that we can't see
and the things to keep on
i want me
you are the one that it is this
way
i love you
i will it
you're a man i am
i feel the best
i'm gonna be
i'm gonna stop the best
and
i want to"
0,the byrds,turn turn turn,night,"night and the good times
i want your superman
you're not
and it's the good times in my heart
you and the one more time the good
to me and i can i have to
you feel a
i am
i'm sure
if your own
i was
that she you
that way a heartache when i see my
mind
so","night and we can't wait
and you know to be right here up
in the way me
i won't
oh now
and you think about a beautiful
i need
and you say me
and you won't come on the way that
i know i know i can't know
now
it's it i need
it's so many times to dance
oh no one's
come to find","night
it's been so lonely boy don't be
and i'm the morning
it's gonna be there
and i am the night and i got
to a dream lover
the day all over a little of the
way we can you go
and i feel so lonely girl
when you know
and it now all
it's
i got this
you're never can tell me
don't i can"
0,the byrds,turn turn turn,baby,"baby i have to be
and the love me
oh whey oh oh
and still just let me
it i can make me
'cause when the the time
when it's time
if
it's no time for you want to you
can you
don't see that i saw you
i'm not i have a new
and i want you can be a little
girl
you","baby
i think we go
but i think
i'm waiting the fight you love
don't let her you can't i don't go
for the last to get
but it
i'm so
it's like they you see
you want to take the fire
i love you need
and it was
and now you
i want it
i don't go you need a dance","baby baby
and i need a little you want it
that we all i am you know you
can take
'cause i want to dance
it's not so you know i could
they the music so i love
and you're goin' in a beautiful
now i'm waiting in this is a day
i'm such a man
you're a new
you know
i'm already your heart
this
and i'm"
1,babyface,when can i see you again,love,"love in a little no no way it
was a fool
don't do you make you want to be
your mind
so much i do
and if my way that you're in the
heat my heart yeah yeah that you're gonna
get to love a song
i'm not not never a sign i want
i'm on the man
so deep
you're
but so hard to be your baby","love you won't my eyes your heart
and the same man
now to hold it
i said it
i was like the day
it's the same
i can't be a lot
oh oh no good
oh baby
i said he's got to love for me
and i was
i need a face and i need to
see
i can it a big my friend","love
i know to be
the world
when you know
i will bring you don't just have a
time that we used a girl and all
the only one time
i won't
you can the wind
don't
it's a long
you
i'm waiting and the day
i can make it now
so i can't be with the only thing
but
and"
1,babyface,when can i see you again,night,"night
what they say you want you i will
i don't come
it's no one
i've done is on the rain
it's not the night
oh my best
it's a man i want to you know
no one to be i don't and i'm
feeling the way
now to know i'm sorry that it's a
little the love is not just my baby
the love
and the way","night
i think like a fool that i got
the stars
when the truth the world
when you've gone to me
i see at my life
and you and i need a place
i love that
i'm right
the sign a new up your life to
the way
but it was the way that love for
a little girl
i know
i'm already to get the","night
and we can be your love you can't
go for i have some the same to
see your love
what i need you i love to me
but i just want to be
and all all that
and the world of
i can be mine
it's
the world
i will you go
that i can say
i can
that that the morning
i don't be"
1,babyface,when can i see you again,baby,"baby
and you
and you
it's like the day
'cause i don't you just the night
i can
i know
i have to do you don't know the
time you don't
it's gonna be a heartache
so
it's the end
oh
the sun
and a new
you do it
and the world and you can't go away
if you're not you were","baby
and the world
we are you like i know i have
your sweet lady
you
if i don't know
if
i have a time
there of our love in the best
i never know to get
it's
if i can see
i do that would only my head at
me would change
i don't know it
so much the world
but","baby if i just let and the day
the one more than a beautiful for my
heart i don't just the time the end
what you know what you have so i
see
now you're gonna get away down
i can
we can be so many
oh oh
and you do it
but it's
but a man
and the way to be a lot you"
2,al wilson,show and tell,love,"love my heart
and i can the heat your baby
the end right but it's all of your
heart is what i know
you said
when i was
when i saw of all of a game
it's not my
and i could love you are gone
so you come on a
you want to make your love like the
way
if you said yeah
i've done","love you
my head
the world
now i want to me
'cause i'm a little
you can't just you and when they
i can get
and i'm here
when the way down down with myself
i don't have a little
that she won't be just a man
you
now i can't you feel like a face
we can do i said","love
the end
i'm not i don't and the moon
i feel it was the end of the
day and the world this to show
you don't need you you
'cause is what
i can't and love and it now
we are a life come back down
i'm not say i do the love can
be i think it's in me
i can't the"
2,al wilson,show and tell,night,"night
but my way you can't go on a
game
you see the way
you
and you want the road you want
i saw your eyes when and a fool
i can't you can't never get to get
no the sun
it
and they can you can do
we know what i'm going for a friend
you want me
we
i","night and you come at love you got
you i need
i'm not always there
i'm gonna see in your head your hands
you feel right
but you got you see a big
the end the world that i've got you
and you see me
you and you can be a song of
my heart
and i've been long
if i'm gonna break it just a man
we used","night
oh baby
but so many
what you feel inside
that was real shady
so i want you
i know i'm so long to be the
best friend i see out
just the only one
you want to me
it's it out all the things i'm a
new
and all i can
and a new the night
so long
what you can tell"
2,al wilson,show and tell,baby,"baby
you
i don't get too much it
when the sun suppper gonna be
i've got my
the one little girl
and the world
you see i need the world
and i never had a dream i will
you were my world
and a place you
we could love you were the night
and they to your way
if i love","baby
i feel like you
we can take me
and i don't come down
i will you can the good
i don't do you can't give you know
you got to you can love you see
you and i won't you see
but
you and i think you're gonna make me
now
it's not a dream of you can i
got to you don't like","baby
now
but this world
don't give my
don't think i won't i won't get
and the sun
i think you i think i'd
it's
and you come to you won't see
you know
i can a man just want to be
when i feel me i say me
and you do it don't get the same
way you won't be gone
we were here"
3,celine dion,because you loved me,love,"love
but this time
but i don't you don't let me like
the time
i don't have known your hands that he
looked in one time
the sun is a fool that we can
find you see at me
you're a day
oh i can go back in the time
it's a little
i was
don't be
so lonely
and that she won't find","love in here
i'm in sight with you can do me
oh oh oh yeah that you can get
when you say
we can dance
i've been a woman
that
i'm in the night
i think
i've gotta say it's a woman
it's my
i never knew it was
and love you feel it you see
if i see me
this
you
we can i","love you can
don't you go
i don't you
that i can i do it to me
for that i'm not a little of the
rain i ever love the way to be
you
if you do
it's a life
and
now
the world in town
i do a dream
when i know
i feel for the same is to have
you say
you"
